Maturity;177.845;200.076;211.191;216.749;222.307;227.864;233.422;244.537;266.768
1M;46.37;36.88;33.21;31.77;30.52;29.32;28.14;26.46;28.48
2M;39.57;33.45;31.03;29.89;28.74;27.59;26.51;24.87;24.78
3M;36.52;31.52;29.53;28.61;27.69;26.79;25.91;24.40;23.38
6M;33.23;29.98;28.60;27.96;27.35;26.75;26.17;25.08;23.40
9M;31.96;29.41;28.32;27.81;27.33;26.86;26.40;25.52;23.98
1Y;31.13;28.99;28.08;27.66;27.25;26.86;26.49;25.76;24.46
18M;30.58;28.86;28.12;27.77;27.44;27.12;26.82;26.25;25.22
2Y;30.09;28.67;28.05;27.77;27.49;27.23;26.98;26.52;25.71
3Y;29.30;28.13;27.61;27.37;27.14;26.92;26.71;27.32;25.64
